source,path,status,context,kind,bytes,sha256
zebrafish_hematopoiesis_growth_mapping_graphvelo_moscot.ipynb,executed_notebooks/zebrafish_hematopoiesis_growth_mapping_graphvelo_moscot.ipynb,CURRENT SAVED RUN,41 executed nonempty cells; no saved errors. Original paths and outputs preserved; not a new execution.,notebook,1928571,f04295b650abc868ae3d9bd36e411b92e5bf32da7f1d9355b604b82c306f324b
zebrafish_hematopoiesis_growth_mapping_graphvelo_moscot.ipynb#cell-17-output-2,notebook_figures/zebrafish_hematopoiesis_growth_mapping_graphvelo_moscot/cell_017_output_02.png,CURRENT SAVED RUN,6. Data-driven candidate-marker discovery without relabeling. 41 executed nonempty cells; no saved errors. Original paths and outputs preserved; not a new execution.,notebook_image,241389,75a7bb03968600cd5c109c49754a3d211f55f22903cc680970f26d4a85c65146
zebrafish_hematopoiesis_growth_mapping_graphvelo_moscot.ipynb#cell-23-output-1,notebook_figures/zebrafish_hematopoiesis_growth_mapping_graphvelo_moscot/cell_023_output_01.png,CURRENT SAVED RUN,7. Restrict to official labels and run Dynamo preprocessing once. 41 executed nonempty cells; no saved errors. Original paths and outputs preserved; not a new execution.,notebook_image,447942,cdbfc7c5913507dda42ee9fcf7ce26446eeca59c6a7353ba5870ea223bc22333
zebrafish_hematopoiesis_growth_mapping_graphvelo_moscot.ipynb#cell-66-output-2,notebook_figures/zebrafish_hematopoiesis_growth_mapping_graphvelo_moscot/cell_066_output_02.png,CURRENT SAVED RUN,"24. Visualize native moscot growth, fate, and velocity agreement. 41 executed nonempty cells; no saved errors. Original paths and outputs preserved; not a new execution.",notebook_image,393789,6eb7ea8c59ba38e4cf9d79a301583dd2d9cf26ffb7120facd067c9bad02806fb
zebrafish_hematopoiesis_growth_mapping_graphvelo_moscot.ipynb#cell-66-output-3,notebook_figures/zebrafish_hematopoiesis_growth_mapping_graphvelo_moscot/cell_066_output_03.png,CURRENT SAVED RUN,"24. Visualize native moscot growth, fate, and velocity agreement. 41 executed nonempty cells; no saved errors. Original paths and outputs preserved; not a new execution.",notebook_image,41602,10d2a3f241a47e7e997c0227441d09d8fdf3ccfa089f10b2a1960dd497cf561d
hematopoiesis_GraphVelo_moscot.ipynb,executed_notebooks/hematopoiesis_GraphVelo_moscot.ipynb,HISTORICAL / SAVED ERROR,Earlier combined model; saved categorical-median error. Superseded by native M0/M1.,notebook,2881884,500937ea668454e48933b88a6c2b2c35046fd772c79a41c7ff18222ccdc7a0d7
hematopoiesis_GraphVelo_moscot.ipynb#cell-17-output-2,notebook_figures/hematopoiesis_GraphVelo_moscot/cell_017_output_02.png,HISTORICAL / SAVED ERROR,6. Data-driven candidate-marker discovery without relabeling. Earlier combined model; saved categorical-median error. Superseded by native M0/M1.,notebook_image,241389,75a7bb03968600cd5c109c49754a3d211f55f22903cc680970f26d4a85c65146
hematopoiesis_GraphVelo_moscot.ipynb#cell-21-output-1,notebook_figures/hematopoiesis_GraphVelo_moscot/cell_021_output_01.png,HISTORICAL / SAVED ERROR,7. Restrict to official labels and run Dynamo preprocessing once. Earlier combined model; saved categorical-median error. Superseded by native M0/M1.,notebook_image,447942,cdbfc7c5913507dda42ee9fcf7ce26446eeca59c6a7353ba5870ea223bc22333
hematopoiesis_GraphVelo_moscot.ipynb#cell-56-output-2,notebook_figures/hematopoiesis_GraphVelo_moscot/cell_056_output_02.png,HISTORICAL / SAVED ERROR,21. Aggregate cell-level couplings to official cell-type transitions. Earlier combined model; saved categorical-median error. Superseded by native M0/M1.,notebook_image,469353,03cdac31b5e5eca29b33941f80a6ed36065fe31c6801b0b52363eb0c4d4d4bf7
hematopoiesis_GraphVelo_moscot.ipynb#cell-58-output-2,notebook_figures/hematopoiesis_GraphVelo_moscot/cell_058_output_02.png,HISTORICAL / SAVED ERROR,22. HSPC push-forward fate distributions through multiple time points. Earlier combined model; saved categorical-median error. Superseded by native M0/M1.,notebook_image,147322,4ed5110a0fba6b3416a6a1e40c257199f1727538ed308c7e5f7450f8f2a8083d
hematopoiesis_GraphVelo_moscot.ipynb#cell-60-output-3,notebook_figures/hematopoiesis_GraphVelo_moscot/cell_060_output_03.png,HISTORICAL / SAVED ERROR,23. Convert combined couplings into real-time PCA velocities. Earlier combined model; saved categorical-median error. Superseded by native M0/M1.,notebook_image,471663,57b6f614d44aead94491e80a014b046de8a100cb82f8a38ebe946fb008bc072f
hematopoiesis_GraphVelo_moscot.ipynb#cell-72-output-2,notebook_figures/hematopoiesis_GraphVelo_moscot/cell_072_output_02.png,HISTORICAL / SAVED ERROR,Interpretation checklist before reporting. Earlier combined model; saved categorical-median error. Superseded by native M0/M1.,notebook_image,127040,6d3edab14bd3c609c3f425ace68a56ea622a88282d6d6bd74cdc0567a6b72980
hematopoiesis_graphvelo_2.ipynb,executed_notebooks/hematopoiesis_graphvelo_2.ipynb,HISTORICAL / PARTIAL RUN,Earlier GraphVelo stage; some nonempty cells have no execution count.,notebook,2069176,289ec396058b20d9802b5c30201b8a08e52f1e0367a7888ccbfada54b782d78d
hematopoiesis_graphvelo_2.ipynb#cell-16-output-2,notebook_figures/hematopoiesis_graphvelo_2/cell_016_output_02.png,HISTORICAL / PARTIAL RUN,6. Data-driven candidate-marker discovery without relabeling. Earlier GraphVelo stage; some nonempty cells have no execution count.,notebook_image,538364,03b9ce7c812fc915f14e5df962ab7d402b26c85598a3360f62291201bcc21129
hematopoiesis_graphvelo_2.ipynb#cell-20-output-1,notebook_figures/hematopoiesis_graphvelo_2/cell_020_output_01.png,HISTORICAL / PARTIAL RUN,7. Restrict to official labels and run Dynamo preprocessing once. Earlier GraphVelo stage; some nonempty cells have no execution count.,notebook_image,447942,cdbfc7c5913507dda42ee9fcf7ce26446eeca59c6a7353ba5870ea223bc22333
hematopoiesis_graphvelo_2.ipynb#cell-40-output-1,notebook_figures/hematopoiesis_graphvelo_2/cell_040_output_01.png,HISTORICAL / PARTIAL RUN,15. Main result: directed weighted official-cell-type network. Earlier GraphVelo stage; some nonempty cells have no execution count.,notebook_image,219621,d2b94639adecccf1d1497fc09ed1ece88c0c7df50135b8120a7b3388a8a413a2
hematopoiesis_graphvelo_2.ipynb#cell-47-output-1,notebook_figures/hematopoiesis_graphvelo_2/cell_047_output_01.png,HISTORICAL / PARTIAL RUN,16. Optional ODE trajectories in PCA space. Earlier GraphVelo stage; some nonempty cells have no execution count.,notebook_image,230198,8e83d38efbcb9b96b3702f4c3f755868b022fd46d669e616af6d13a430cae1f2
hematopoiesis_graphvelo.ipynb,executed_notebooks/hematopoiesis_graphvelo.ipynb,HISTORICAL / SAVED ERROR,Earlier annotation approach; saved SUBTYPE_RULES NameError.,notebook,117109,0274b424d6409ef981c4c29dfa34ca62a0056d0ed71eaf44f9fa73e2be4fd2bf
zebrafish_human_cross_species_validation.before_expanded_panel.ipynb,executed_notebooks/zebrafish_human_cross_species_validation.before_expanded_panel.ipynb,SUPERSEDED HUMAN VALIDATION,"Executed older marker-panel analysis, not the current expanded-panel result.",notebook,539919,0cb368bcaa5ba906a43711b7045483270755872bf4d9eed6ccaabf1ddb2a0847
zebrafish_human_cross_species_validation.before_expanded_panel.ipynb#cell-26-output-1,notebook_figures/zebrafish_human_cross_species_validation.before_expanded_panel/cell_026_output_01.png,SUPERSEDED HUMAN VALIDATION,"12. Black-and-white figures. Executed older marker-panel analysis, not the current expanded-panel result.",notebook_image,37432,df62bf32813ac4eca84ce82d565ca24cefbfdf99cef131c72dbf40f257f685a6
zebrafish_human_cross_species_validation.before_expanded_panel.ipynb#cell-27-output-1,notebook_figures/zebrafish_human_cross_species_validation.before_expanded_panel/cell_027_output_01.png,SUPERSEDED HUMAN VALIDATION,"12. Black-and-white figures. Executed older marker-panel analysis, not the current expanded-panel result.",notebook_image,39924,1b6a7e60f6e1a9e22127734006f0c1d8c796eaf6fea9d626c85e4dcc5de93f86
zebrafish_human_cross_species_validation.before_expanded_panel.ipynb#cell-27-output-2,notebook_figures/zebrafish_human_cross_species_validation.before_expanded_panel/cell_027_output_02.png,SUPERSEDED HUMAN VALIDATION,"12. Black-and-white figures. Executed older marker-panel analysis, not the current expanded-panel result.",notebook_image,41847,ff1a0f1d498583cf08a9a455c1d1576dc6e3345cb055ad121d268441c5b79375
zebrafish_human_cross_species_validation.before_expanded_panel.ipynb#cell-28-output-1,notebook_figures/zebrafish_human_cross_species_validation.before_expanded_panel/cell_028_output_01.png,SUPERSEDED HUMAN VALIDATION,"12. Black-and-white figures. Executed older marker-panel analysis, not the current expanded-panel result.",notebook_image,70424,7ef16abf725b514ee7aa9d16acdb6f12e119c237b596de328003444dd0879600
zebrafish_human_cross_species_validation.before_expanded_panel.ipynb#cell-29-output-1,notebook_figures/zebrafish_human_cross_species_validation.before_expanded_panel/cell_029_output_01.png,SUPERSEDED HUMAN VALIDATION,"12. Black-and-white figures. Executed older marker-panel analysis, not the current expanded-panel result.",notebook_image,38407,301ee2eb10cdac6fc4e3d0762168888c7b43bf90d78ba8b728fb17b87f71bc2b
zebrafish_human_cross_species_validation.before_expanded_panel.ipynb#cell-30-output-1,notebook_figures/zebrafish_human_cross_species_validation.before_expanded_panel/cell_030_output_01.png,SUPERSEDED HUMAN VALIDATION,"12. Black-and-white figures. Executed older marker-panel analysis, not the current expanded-panel result.",notebook_image,45564,1534f45f8eb23c9cf053a4059a1c6af3b170bf085eaa2cdd9e6636d0368c6bf9
